month,opeid,md_earn_wne_p10.reported.earnings,medianEarnings,index_std
2013-03-01,100200,31400,0,-0.11533408912004525
2013-03-01,100400,35100,0,0.798180120032137
2013-03-01,100500,27800,0,-0.5566767114250515
2013-03-01,100800,39700,0,0.2342062674330247
2013-03-01,100900,45400,0,0.1821628887412614
2013-03-01,101200,41900,0,0.8129252721226257
2013-03-01,101600,36300,0,0.6030169598249516
2013-03-01,102400,33800,0,0.11237527251421903
2013-03-01,102900,37800,0,-0.07178279848690096
2013-03-01,104100,43800,0,0.15399581251388655
2013-03-01,104400,24700,0,0.2492051203996134
2013-03-01,104600,25600,0,-0.11783722184090695
2013-03-01,104700,36600,0,-0.03261854649046417
2013-03-01,105000,37100,0,0.8170744683756161
2013-03-01,105100,42400,0,-0.585278052858236
2013-03-01,105200,40300,0,0.32907595730604144
2013-03-01,105500,46600,0,0.16784542124670013
2013-03-01,105700,38300,0,0.17589339782139773
2013-03-01,106100,47400,0,0.5555799945058703
2013-03-01,106300,38200,0,0.9318566224352922
2013-03-01,106500,39500,0,2.7625116183628653
2013-03-01,108100,45200,0,0.6562788489328639
2013-03-01,108300,44400,0,0.23559172201366957
2013-03-01,108600,27400,0,-0.10141084073581291
2013-03-01,108700,21100,0,0.9209500348058617
2013-03-01,108900,35000,0,-0.21492999242536187
2013-03-01,109000,32700,0,0.1690598725903284
2013-03-01,109200,37100,0,0.5729309789723548
2013-03-01,109300,35700,0,0.3366621097435886
2013-03-01,109400,31100,0,-0.2952621920306484
2013-03-01,110100,34800,0,-0.3877269721410699
2013-03-01,110600,32300,0,0.5072219071593463
2013-03-01,110700,35900,0,-0.10263466192894527
2013-03-01,110800,43600,0,0.2082545075522188
2013-03-01,110900,62400,1,1.042632612948092
2013-03-01,111000,29900,0,1.0812808181506544
2013-03-01,111600,51700,0,1.332108380824415
2013-03-01,111700,49000,0,0.1563717687432411
2013-03-01,112200,40700,0,0.7203472678453647
2013-03-01,112300,29100,0,0.17810392149256385
2013-03-01,112500,41800,0,0.7181293425404727
2013-03-01,112700,35700,0,0.4631695725593825
2013-03-01,113100,74000,1,0.5811026720071935
2013-03-01,113200,32500,0,-0.06064111368212151
2013-03-01,113300,52900,0,0.37956664345381474
2013-03-01,113400,81100,1,-0.4410707254940773
2013-03-01,113700,46500,0,0.6093935033150257
2013-03-01,113800,51300,0,0.5377132190089965
2013-03-01,113900,46900,0,-0.13506706414588088
2013-03-01,114000,44900,0,0.45857866706699374
2013-03-01,114100,42800,0,-0.16092680989095232
2013-03-01,114200,45500,0,0.7119554785006939
2013-03-01,114300,60900,1,1.3451956518836743
2013-03-01,114400,52000,0,1.361118254599433
2013-03-01,114600,45100,0,0.5282069157623219
2013-03-01,114700,43200,0,1.0782965349265219
2013-03-01,115000,46500,0,0.7245727424821402
2013-03-01,115300,44200,0,0.44885216095646824
2013-03-01,115600,45600,0,1.1219671939664662
2013-03-01,115700,44900,0,0.22321617964916293
2013-03-01,116400,51800,0,1.7461604974501568
2013-03-01,117000,63600,1,1.0291363877592725
2013-03-01,117700,48500,0,0.29054575240964264
2013-03-01,121600,52700,0,0.531541914235235
2013-03-01,122000,40900,0,1.0709939533406148
2013-03-01,128100,38600,0,-0.8655820355263592
2013-03-01,129100,33700,0,0.7190443020560994
2013-03-01,129300,38800,0,0.5657182365293736
2013-03-01,130500,80900,1,0.6024145387755071
2013-03-01,131200,62700,1,1.1362037907668125
2013-03-01,131300,57100,0,1.168994791023342
2013-03-01,131400,55800,0,1.0122238890866007
2013-03-01,131500,59200,1,1.442593605932148
2013-03-01,131600,48700,0,1.2374116048186687
2013-03-01,131700,59600,1,1.8881959849019612
2013-03-01,132000,52000,0,0.8738658368252181
2013-03-01,132100,44600,0,1.305947441451892
2013-03-01,132200,53800,0,0.7815855626157059
2013-03-01,132500,61000,1,1.266735870726623
2013-03-01,132800,66100,1,1.409676478816288
2013-03-01,132900,66400,1,0.642167495523386
2013-03-01,133900,34200,0,-0.18693779485399642
2013-03-01,134100,48300,0,0.7737923563231621
2013-03-01,134200,45100,0,0.4701232433007494
2013-03-01,134300,45600,0,1.3243210805666634
2013-03-01,134500,33200,0,-0.19355240636438603
2013-03-01,134700,41100,0,0.25455080422477605
2013-03-01,134800,74700,1,0.4853840897130518
2013-03-01,134900,39000,0,1.1153537244497203
2013-03-01,135000,44300,0,-0.001660187219151658
2013-03-01,135800,34600,0,-0.10874311917773653
2013-03-01,136500,36200,0,0.5537201300933967
2013-03-01,137000,48000,0,0.2547447330949342
2013-03-01,137100,51400,0,0.751215510616005
2013-03-01,137200,36500,0,-0.4863004626898518
2013-03-01,137400,52200,0,0.2556740062155226
2013-03-01,137800,43700,0,0.4690676913130337
2013-03-01,137900,51000,0,1.6709511722753774
2013-03-01,138000,43300,0,1.3066433854444055
2013-03-01,139700,48900,0,0.7248036797372255
2013-03-01,140600,41700,0,0.8408719418950527
2013-03-01,140900,49700,0,1.3476387781203425
2013-03-01,141400,56100,0,-0.22949796989148885
2013-03-01,141600,40600,0,1.2349030986130989
2013-03-01,141700,53900,0,1.0289509476687766
2013-03-01,141702,53900,0,0.8184050515449371
2013-03-01,141704,53900,0,1.1137241447596802
2013-03-01,141705,53900,0,2.289837965864845
2013-03-01,142200,45900,0,2.5962788239405215
2013-03-01,142400,50900,0,1.2903552025129947
2013-03-01,142600,66000,1,0.8641960651028096
2013-03-01,143100,54300,0,0.7250910770943648
2013-03-01,143300,41400,0,-0.6175878385836409
2013-03-01,143400,55900,0,1.3508109050009676
2013-03-01,143600,58900,0,0.5696676939135771
2013-03-01,143700,54500,0,1.032253858205591
2013-03-01,144100,36200,0,0.48594371446548806
2013-03-01,145900,51700,0,0.07987791872133454
2013-03-01,145901,51700,0,0.2759008380774692
2013-03-01,145911,51700,0,0.5174220739170731
2013-03-01,145932,51700,0,0.04157894400636322
2013-03-01,145935,51700,0,0.09436542489897776
2013-03-01,145939,51700,0,0.11579875629293856
2013-03-01,145942,51700,0,0.46812848587270306
2013-03-01,145948,51700,0,0.12338139813864799
2013-03-01,145953,51700,0,0.14555676644079407
2013-03-01,145955,51700,0,0.08616315817879733
2013-03-01,145975,51700,0,0.045304268378209916
2013-03-01,145977,51700,0,0.21629659933290155
2013-03-01,145984,51700,0,0.04276413018720529
2013-03-01,145987,51700,0,-0.05226692062318431
2013-03-01,145988,51700,0,0.03385811617659279
2013-03-01,145991,51700,0,-0.0226567880250877
2013-03-01,146000,52100,0,0.8425443539454942
2013-03-01,146600,45300,0,1.0450497551061686
2013-03-01,146700,28700,0,0.4044528475204771
2013-03-01,146800,42600,0,-0.0975222491124973
2013-03-01,147300,34700,0,0.314305640919665
2013-03-01,152100,32600,0,0.4283951546490521
2013-03-01,153100,42600,0,0.3169991487053847
2013-03-01,153500,51300,0,1.2875484837933648
2013-03-01,153600,52400,0,0.5708827751896517
2013-03-01,153700,41700,0,0.7998936669721569
2013-03-01,153701,41700,0,0.5389105004301298
2013-03-01,153702,41700,0,0.4680106823069663
2013-03-01,153800,44400,0,0.9080473449704828
2013-03-01,154000,35800,0,-0.1385431652486382
2013-03-01,154001,35800,0,0.8262209452858902
2013-03-01,154200,39400,0,0.4817132558060209
2013-03-01,154400,32700,0,-0.5383336102573072
2013-03-01,154600,39400,0,1.664826738792464
2013-03-01,155400,37700,0,-0.36304938879423976
2013-03-01,155500,37400,0,0.47098632887030845
2013-03-01,155600,42600,0,0.02825483523403391
2013-03-01,155700,34700,0,0.5690914020775883
2013-03-01,155900,33700,0,0.5963722607647115
2013-03-01,156100,36100,0,0.7910186923411491
2013-03-01,157000,52400,0,0.7887175538703375
2013-03-01,159400,46400,0,0.47350909611277253
2013-03-01,159600,26400,0,-0.4961464678661881
2013-03-01,159700,32400,0,0.30730602162861814
2013-03-01,159800,46500,0,0.5336720516463697
2013-03-01,159900,38000,0,0.49014729526334905
2013-03-01,160000,37100,0,0.6428950378574664
2013-03-01,160100,36900,0,0.5763510948652091
2013-03-01,160400,34100,0,0.1749257476990435
2013-03-01,160500,37300,0,1.6434530212074887
2013-03-01,160600,39400,0,0.5151782044169226
2013-03-01,161000,44300,0,1.0178999615034239
2013-03-01,161100,34500,0,1.6738365055887372
2013-03-01,161600,35300,0,-0.204540414171626
2013-03-01,161700,38900,0,-0.43512938740582513
2013-03-01,162500,39000,0,0.2660825157436362
2013-03-01,162600,39900,0,0.5980671015124266
2013-03-01,162800,26700,0,0.5365973578774037
2013-03-01,163400,41500,0,0.6068962428162946
2013-03-01,163900,38000,0,-0.1516361147765543
2013-03-01,164100,52400,0,1.0259073487986934
2013-03-01,166400,44600,0,1.0027158418805429
2013-03-01,166500,32700,0,1.0228930731527934
2013-03-01,166600,41500,0,0.47822875004822
